block_id,block
145,006XX S INDEPENDENCE BLVD
146,101XX S CRANDON AVE
147,031XX W OGDEN AVE
148,079XX S KENNETH AVE
149,017XX W NORTH SHORE AVE
150,081XX S HARVARD AVE
151,102XX S HOXIE AVE
152,045XX S ARCHER AVE
153,050XX S PULASKI RD
154,051XX S PULASKI RD
155,026XX E 83RD ST
156,027XX N LAKE SHORE DR
157,071XX W PALMER ST
158,068XX N SHERIDAN RD
159,012XX S DAMEN AVE
160,034XX N ALBANY AVE
161,023XX W JACKSON BLVD
162,102XX S EBERHART AVE
163,061XX W CORNELIA AVE
164,079XX S KILBOURN AVE
165,021XX W 18TH ST
166,027XX N KENMORE AVE
167,062XX N KEYSTONE AVE
168,050XX S KOLIN AVE
169,030XX S LOOMIS ST
170,032XX W 64TH ST
171,049XX N NEENAH AVE
172,001XX S JEFFERSON ST
173,023XX W WARREN BLVD
174,027XX N HAMPDEN CT
175,001XX E 78TH ST
176,015XX N BOSWORTH AVE
177,053XX S CARPENTER ST
178,006XX W 31ST ST
179,001XX W 108TH ST
180,092XX S HALSTED ST
181,050XX S JUSTINE ST
182,080XX S COLES AVE
183,057XX S TRIPP AVE
184,032XX N KILDARE AVE
185,097XX S DR MARTIN LUTHER KING JR DR
186,042XX W GRENSHAW ST
187,080XX S PAXTON AVE
188,017XX W LAKE ST
189,024XX N NEWCASTLE AVE
190,048XX N CLAREMONT AVE
191,010XX W 87TH ST
192,031XX N CENTRAL AVE
193,054XX W CHICAGO AVE
194,011XX W DRUMMOND PL
195,003XX E 130TH ST
196,040XX W PETERSON AVE
197,024XX W FARWELL AVE
198,010XX N MASON AVE
199,099XX S MORGAN ST
200,062XX S ALBANY AVE
201,048XX W ST PAUL AVE
202,052XX N AUSTIN AVE
203,032XX S MORGAN ST
204,013XX W 103RD ST
205,022XX S WABASH AVE
206,063XX S ST LAWRENCE AVE
207,057XX W ADDISON ST
208,110XX S CAMPBELL AVE
209,073XX S YATES BLVD
210,055XX S WHIPPLE ST
211,049XX W WASHINGTON BLVD
212,041XX N MARINE DR
213,031XX W 62ND ST
214,070XX W 63RD PL
215,044XX S KILPATRICK AVE
216,083XX S BALTIMORE AVE
217,063XX W BLOOMINGDALE AVE
218,097XX S BRENNAN AVE
219,008XX N RIDGEWAY AVE
220,065XX S FRANCISCO AVE
221,032XX W LEXINGTON ST
222,100XX S COMMERCIAL AVE
223,014XX W HUBBARD ST
224,053XX N MANILA AVE
225,016XX W 21ST ST
226,005XX W LAKE ST
227,041XX N TROY ST
228,026XX N TROY ST
229,072XX S VERNON AVE
230,045XX W ALTGELD ST
231,061XX W GUNNISON ST
232,021XX S TRUMBULL AVE
233,005XX W BELMONT AVE
234,081XX S PAULINA ST
235,103XX S COTTAGE GROVE AVE
236,074XX S SOUTH SHORE DR
237,038XX W MARQUETTE RD
238,077XX S MARSHFIELD AVE
239,019XX W EVERGREEN AVE
240,033XX N SPRINGFIELD AVE
241,077XX S KILBOURN AVE
242,073XX S FAIRFIELD AVE
243,036XX S CALIFORNIA AVE
244,095XX S EMERALD AVE
245,026XX W 23RD PL
246,024XX W FARGO AVE
247,122XX S NORMAL AVE
248,019XX E 75TH ST
249,076XX S EBERHART AVE
250,053XX S MAPLEWOOD AVE
251,079XX S THROOP ST
252,015XX E 68TH ST
253,047XX S ELLIS AVE
254,114XX S ST LAWRENCE AVE
255,009XX N LATROBE AVE
256,001XX S STATE ST
257,049XX W KINZIE ST
258,075XX S COLFAX AVE
259,054XX W AUGUSTA BLVD
260,081XX S KEDZIE AVE
261,029XX N RIVERWALK DR
262,054XX S HONORE ST
263,086XX S ADA ST
264,009XX N LOCKWOOD AVE
265,018XX S UNION AVE
266,057XX S MORGAN ST
267,055XX W CRYSTAL ST
268,118XX S WALLACE ST
269,051XX W IOWA ST
270,052XX S WOLCOTT AVE
271,005XX N STATE ST
272,006XX N KEDZIE AVE
273,043XX W HADDON AVE
274,066XX S HARVARD AVE
275,014XX S MICHIGAN AVE
276,078XX S BURNHAM AVE
277,004XX E ILLINOIS ST
278,124XX S LOWE AVE
279,003XX W 107TH PL
280,063XX S DR MARTIN LUTHER KING JR DR
281,054XX N ARTESIAN AVE
282,052XX W QUINCY ST
283,005XX N RUSH ST
284,084XX S DREXEL AVE
285,010XX N MONTICELLO AVE
286,0000X E CHICAGO AVE
287,002XX W ONTARIO ST
288,002XX W 118TH ST
289,046XX S TALMAN AVE
290,008XX W 35TH PL
291,010XX W 93RD ST
292,092XX S DR MARTIN LUTHER KING JR DR
293,047XX W FULTON ST
294,061XX S CHAMPLAIN AVE
295,038XX S VINCENNES AVE
296,009XX W ARMITAGE AVE
297,020XX N MILWAUKEE AVE
298,028XX N DAMEN AVE
299,022XX W MAYPOLE AVE
300,028XX W 40TH ST
301,064XX S LA CROSSE AVE
302,028XX N SHEFFIELD AVE
303,030XX W 41ST ST
304,068XX S JEFFERY BLVD
305,050XX W DRUMMOND PL
306,015XX W 51ST ST
307,003XX N DEARBORN ST
308,022XX S KOSTNER AVE
309,079XX S HALSTED ST
310,053XX W POTOMAC AVE
311,015XX N MILWAUKEE AVE
312,0000X W OAK ST
313,025XX W DIVERSEY AVE
314,054XX S MAPLEWOOD AVE
315,029XX N SHEFFIELD AVE
316,008XX E 79TH ST
317,013XX W LAWRENCE AVE
318,007XX S CICERO AVE
319,049XX W CUYLER AVE
320,024XX N KEDZIE BLVD
321,035XX W PALMER ST
322,004XX W 70TH ST
323,032XX W 62ND PL
324,048XX N HERMITAGE AVE
325,010XX N MILWAUKEE AVE
326,054XX W POTOMAC AVE
327,014XX W LAKE ST
328,031XX W HARRISON ST
329,053XX W BELMONT AVE
330,089XX S MUSKEGON AVE
331,071XX S EUCLID AVE
332,075XX S STONY ISLAND AVE
333,007XX S MICHIGAN AVE
334,043XX S MAPLEWOOD AVE
335,042XX N BERNARD ST
336,001XX E WALTON ST
337,017XX N MAPLEWOOD AVE
338,0000X W 79TH ST
339,031XX W MADISON ST
340,024XX W LEXINGTON ST
341,034XX W LAKE ST
342,020XX W 67TH PL
343,029XX S PULASKI RD
344,039XX W GRAND AVE
345,053XX S PULASKI RD
346,080XX S INGLESIDE AVE
347,125XX S PRINCETON AVE
348,003XX N PINE AVE
349,001XX E WACKER DR
350,0000X E CHESTNUT ST
351,001XX S MICHIGAN AVE
352,003XX E ILLINOIS ST
353,037XX W 66TH ST
354,006XX N DEARBORN ST
355,086XX S MARQUETTE AVE
356,0000X E GARFIELD BLVD
357,053XX W ADDISON ST
358,108XX S KEDZIE AVE
359,005XX W 72ND ST
360,067XX S CORNELL AVE
361,079XX S EVANS AVE
362,024XX S HOMAN AVE
363,031XX W IRVING PARK RD
364,024XX W 46TH ST
365,084XX S KINGSTON AVE
366,001XX N LAMON AVE
367,001XX W ERIE ST
368,019XX S HOMAN AVE
369,058XX N NAGLE AVE
370,015XX N MAYFIELD AVE
371,047XX W CONGRESS PKWY
372,016XX W 63RD ST
373,010XX W GRANVILLE AVE
374,053XX S ALBANY AVE
375,079XX S VINCENNES AVE
376,039XX W ARTHINGTON ST
377,002XX W 26TH ST
378,050XX W DIVISION ST
379,010XX N LAWLER AVE
380,073XX N SEELEY AVE
381,008XX N MICHIGAN AVE
382,015XX S KILDARE AVE
383,024XX N CENTRAL AVE
384,076XX S DAMEN AVE
385,018XX W NORTH AVE
386,013XX W HURON ST
387,008XX W BELMONT AVE
388,017XX W 87TH ST
389,005XX W 57TH ST
390,055XX W CORCORAN PL
391,079XX S SANGAMON ST
392,015XX N AVERS AVE
393,055XX S OAKLEY AVE
394,019XX W NORTH AVE
395,058XX S PEORIA ST
396,042XX S DREXEL BLVD
397,016XX N FRANCISCO AVE
398,045XX N SHERIDAN RD
399,044XX S HOMAN AVE
400,074XX N MARSHFIELD AVE
401,042XX W ARMITAGE AVE
402,020XX W 51ST ST
403,003XX S CICERO AVE
404,048XX N ASHLAND AVE
405,009XX N WELLS ST
406,035XX N CLARK ST
407,067XX S LAFLIN ST
408,026XX N RUTHERFORD AVE
409,045XX S DREXEL BLVD
410,031XX W 41ST ST
411,001XX W 35TH ST
412,008XX E 81ST ST
413,043XX S ARTESIAN AVE
414,0000X E ONTARIO ST
415,007XX E 60TH ST
416,006XX N FRANKLIN ST
417,059XX W LAWRENCE AVE
418,087XX S STATE ST
419,077XX N HASKINS AVE
420,006XX W PATTERSON AVE
421,038XX S PARNELL AVE
422,023XX W 24TH PL
423,010XX W DIVERSEY PKWY
424,047XX W SCHOOL ST
425,019XX S KEDZIE AVE
426,061XX N BROADWAY
427,007XX W ROSCOE ST
428,026XX N DAYTON ST
429,005XX S MICHIGAN AVE
430,119XX S STATE ST
431,081XX S MUSKEGON AVE
432,060XX W GRAND AVE
433,005XX N COLUMBUS DR
434,001XX S CICERO AVE
435,060XX N KENMORE AVE
436,023XX E 91ST ST
437,065XX S ABERDEEN ST
438,040XX N PULASKI RD
439,080XX S ESCANABA AVE
440,033XX N HAMILTON AVE
441,003XX E ONTARIO ST
442,078XX S CORNELL AVE
443,030XX N CLYBOURN AVE
444,037XX W 56TH PL
445,054XX W THOMAS ST
446,071XX S CARPENTER ST
447,028XX W BELMONT AVE
448,018XX W 21ST ST
449,104XX S MARYLAND AVE
450,053XX W NORTH AVE
451,111XX S EGGLESTON AVE
452,026XX W 15TH ST
453,007XX W BUCKINGHAM PL
454,051XX S HOYNE AVE
455,035XX N SHEFFIELD AVE
456,095XX S BENNETT AVE
457,015XX W AUGUSTA BLVD
458,053XX S HERMITAGE AVE
459,003XX N AUSTIN BLVD
460,007XX W 112TH ST
461,042XX W IRVING PARK RD
462,018XX W WELLINGTON AVE
463,010XX W RANDOLPH ST
464,071XX S CRANDON AVE
465,0000X E MONROE ST
466,010XX W 18TH ST
467,057XX S SANGAMON ST
468,004XX E 107TH ST
469,063XX S RICHMOND ST
470,033XX W BELMONT AVE
471,012XX N MILWAUKEE AVE
472,069XX S PEORIA ST
473,032XX W ADDISON ST
474,020XX W CORTLAND ST
475,058XX S ASHLAND AVE
476,038XX W WABANSIA AVE
477,014XX S THROOP ST
478,037XX W POLK ST
479,036XX W DIVERSEY AVE
480,011XX N NORTH BRANCH ST
481,025XX W CULLOM AVE
482,053XX W HIRSCH ST
483,078XX W FOREST PRESERVE AVE
484,024XX N LOREL AVE
485,006XX N LOTUS AVE
486,016XX N HUDSON AVE
487,010XX N CICERO AVE
488,014XX W CULLERTON ST
489,025XX N MILWAUKEE AVE
490,057XX W RACE AVE
491,062XX S DR MARTIN LUTHER KING JR DR
492,037XX W AUGUSTA BLVD
493,002XX S GREEN ST
494,030XX S PARNELL AVE
495,057XX W GIDDINGS ST
496,040XX W 21ST ST
497,035XX W NORTH AVE
498,052XX W 54TH ST
499,047XX S PRAIRIE AVE
500,057XX N ELSTON AVE
501,011XX W CERMAK RD
502,114XX S RACINE AVE
503,046XX S PRAIRIE AVE
504,022XX N MILWAUKEE AVE
505,010XX W WRIGHTWOOD AVE
506,032XX S LEAVITT ST
507,056XX S HONORE ST
508,063XX S WOOD ST
509,014XX W 69TH ST
510,001XX E MARQUETTE RD
511,026XX W PETERSON AVE
512,067XX S ADA ST
513,065XX S SANGAMON ST
514,026XX N HAMPDEN CT
515,033XX N CLARK ST
516,036XX W CHICAGO AVE
517,049XX W FULTON ST
518,036XX W DIVISION ST
519,0000X W CHICAGO AVE
520,064XX S TROY ST
521,109XX S VERNON AVE
522,046XX N DRAKE AVE
523,002XX W 91ST ST
524,009XX N AVERS AVE
525,010XX W HOLLYWOOD AVE
526,003XX S FRANCISCO AVE
527,004XX N HALSTED ST
528,012XX S UNION AVE
529,029XX W JACKSON BLVD
530,030XX S KOSTNER AVE
531,007XX N ORLEANS ST
532,034XX S LITUANICA AVE
533,066XX S RACINE AVE
534,010XX W WAVELAND AVE
535,042XX W MONROE ST
536,004XX W ST JAMES PL
537,0000X N STATE ST
538,040XX N MARINE DR
539,031XX W SUNNYSIDE AVE
540,035XX W BELDEN AVE
541,051XX W NORTH AVE
542,042XX N KEYSTONE AVE
543,018XX W 51ST ST
544,074XX W IRVING PARK RD
545,001XX S HALSTED ST
546,032XX W NORTH AVE
547,083XX S DREXEL AVE
548,057XX W MADISON ST
549,007XX W 31ST ST
550,001XX E 47TH ST
551,043XX N WOLCOTT AVE
552,051XX W KINZIE ST
553,015XX N CLYBOURN AVE
554,108XX S EDBROOKE AVE
555,037XX W BELMONT AVE
556,048XX N RIDGEWAY AVE
557,040XX W JACKSON BLVD
558,051XX S RACINE AVE
559,109XX S GREEN BAY AVE
560,003XX S DEARBORN ST
561,052XX S MORGAN ST
562,051XX W PENSACOLA AVE
563,034XX W NORTH AVE
564,108XX S HOXIE AVE
565,071XX S NORMAL BLVD
566,001XX W ADAMS ST
567,002XX N LOREL AVE
568,007XX N FAIRBANKS CT
569,069XX S DORCHESTER AVE
570,062XX W CORNELIA AVE
571,015XX S ST LOUIS AVE
572,060XX W NORTH AVE
573,025XX N HALSTED ST
574,036XX W FRANKLIN BLVD
575,075XX S MARSHFIELD AVE
576,062XX S PARKSIDE AVE
577,005XX N ST LOUIS AVE
578,105XX S PEORIA ST
579,039XX W FILLMORE ST
580,118XX S YALE AVE
581,038XX W ROOSEVELT RD
582,083XX S GREEN ST
583,073XX N RIDGE BLVD
584,067XX S WINCHESTER AVE
585,056XX N LAKE SHORE DR NB
586,007XX E 92ND PL
587,022XX W 50TH ST
588,066XX S ELLIS AVE
589,059XX N HERMITAGE AVE
590,042XX S FRANCISCO AVE
591,028XX W LAWRENCE AVE
592,025XX W CHICAGO AVE
593,049XX W SUPERIOR ST
594,006XX W BELMONT AVE
595,044XX W 53RD ST
596,114XX S MICHIGAN AVE
597,042XX N MOBILE AVE
598,002XX S STATE ST
599,005XX N HOYNE AVE
600,008XX W BRADLEY PL
601,040XX S ELLIS AVE
602,019XX N ELSTON AVE
603,032XX S MAY ST
604,050XX W WRIGHTWOOD AVE
605,048XX W CULLOM AVE
606,109XX S AVENUE F
607,055XX W ROSCOE ST
608,034XX N KEATING AVE
609,0000X E 78TH ST
610,092XX S STATE ST
611,026XX N RICHMOND ST
612,027XX W MONROE ST
613,044XX S KARLOV AVE
614,059XX S WASHTENAW AVE
615,085XX S BURNHAM AVE
616,052XX N OAKVIEW AVE
617,019XX W ERIE ST
618,047XX S KILPATRICK AVE
619,063XX S KENWOOD AVE
620,016XX W IRVING PARK RD
621,002XX S AUSTIN BLVD
622,031XX N CLARK ST
623,011XX N LAWNDALE AVE
624,016XX S KARLOV AVE
625,087XX S HALSTED ST
626,058XX S KILBOURN AVE
627,046XX N BEACON ST
628,070XX S EMERALD AVE
629,0000X W KINZIE ST
630,019XX N HALSTED ST
631,028XX W JARVIS AVE
632,082XX S DREXEL AVE
633,032XX W AUGUSTA BLVD
634,069XX S ASHLAND AVE
635,071XX S STONY ISLAND AVE
636,057XX W HURON ST
637,007XX N SEDGWICK ST
638,017XX W JONQUIL TER
639,010XX N LAWNDALE AVE
640,069XX S HONORE ST
641,037XX N LONG AVE
642,071XX S INDIANA AVE
643,006XX N MONTICELLO AVE
644,011XX S CANAL ST
645,021XX N LONG AVE
646,002XX E PEARSON ST
647,017XX E 84TH PL
648,025XX S CHRISTIANA AVE
649,115XX S INDIANA AVE
650,005XX S DEARBORN ST
651,017XX W 33RD ST
652,095XX S AVENUE M
653,071XX S LAWNDALE AVE
654,049XX W ERIE ST
655,041XX S DR MARTIN LUTHER KING JR DR
656,008XX W WOLFRAM ST
657,012XX N DEARBORN ST
658,009XX N DAMEN AVE
659,074XX S PULASKI RD
660,071XX S INGLESIDE AVE
661,023XX S KEELER AVE
662,045XX W CHICAGO AVE
663,005XX N OGDEN AVE
664,102XX S PERRY AVE
665,052XX W ADDISON ST
666,034XX N HAMLIN AVE
667,040XX W GRENSHAW ST
668,028XX S PULASKI RD
669,133XX S BUFFALO AVE
670,036XX W PALMER ST
671,010XX W ADDISON ST
672,031XX W POLK ST
673,007XX N CHRISTIANA AVE
674,030XX S KEELER AVE
675,012XX N ASHLAND AVE
676,096XX S GREENWOOD AVE
677,040XX S LAKE PARK AVE
678,074XX S KINGSTON AVE
679,026XX N MILWAUKEE AVE
680,078XX S MUSKEGON AVE
681,032XX N MILWAUKEE AVE
682,067XX S PULASKI RD
683,022XX N CANNON DR
684,007XX W 81ST PL
685,025XX W 58TH ST
686,033XX W LAWRENCE AVE
687,047XX N KILBOURN AVE
688,012XX N LA SALLE DR
689,042XX W VAN BUREN ST
690,001XX N HARBOR DR
691,033XX W 64TH PL
692,100XX S AVENUE M
693,073XX S INDIANA AVE
694,003XX W NORTH AVE
695,030XX E 92ND ST
696,044XX N MOZART ST
697,075XX N PAULINA ST
698,105XX S LAFAYETTE AVE
699,022XX S HAMLIN AVE
700,065XX S LOWE AVE
701,046XX N KENNETH AVE
702,049XX W HENDERSON ST
703,041XX W ARMITAGE AVE
704,059XX N KENMORE AVE
705,068XX S TALMAN AVE
706,021XX N HAMLIN AVE
707,028XX S TRUMBULL AVE
708,056XX S HAMILTON AVE
709,026XX W 51ST ST
710,056XX S TRIPP AVE
711,002XX S BELL AVE
712,046XX S KEATING AVE
713,128XX S EMERALD AVE
714,042XX W MADISON ST
715,030XX N ASHLAND AVE
716,064XX S DAMEN AVE
717,083XX S ELLIS AVE
718,039XX N SAYRE AVE
719,052XX N LINCOLN AVE
720,103XX S WOOD ST
721,015XX S AVERS AVE
722,022XX N ROCKWELL ST
723,011XX N MONTICELLO AVE
724,010XX N KILBOURN AVE
725,048XX W WOLFRAM ST
726,080XX S MARYLAND AVE
727,022XX N LAVERGNE AVE
728,032XX N HAMLIN AVE
729,013XX S MORGAN ST
730,045XX W WRIGHTWOOD AVE
731,021XX W GARFIELD BLVD
732,047XX N KEYSTONE AVE
733,037XX N SPRINGFIELD AVE
734,063XX S MAPLEWOOD AVE
735,048XX N CENTRAL AVE
736,028XX E 81ST ST
737,064XX S NEW ENGLAND AVE
738,042XX N OAK PARK AVE
739,009XX W OAKDALE AVE
740,085XX S MACKINAW AVE
741,006XX N LOREL AVE
742,028XX N BROADWAY
743,063XX S WESTERN AVE
744,012XX S TRIPP AVE
745,001XX W ROOSEVELT RD
746,002XX W 24TH ST
747,068XX S SOUTH SHORE DR
748,024XX W ALBION AVE
749,059XX W FULTON ST
750,064XX S JUSTINE ST
751,054XX W VAN BUREN ST
752,055XX S UNION AVE
753,017XX W 75TH PL
754,036XX S WOLCOTT AVE
755,014XX E 74TH ST
756,055XX S ALBANY AVE
757,076XX S LANGLEY AVE
758,060XX W BLOOMINGDALE AVE
759,037XX W 78TH ST
760,040XX W 81ST PL
761,013XX S BLUE ISLAND AVE
762,021XX N MONITOR AVE
763,050XX W VAN BUREN ST
764,012XX W OHIO ST
765,053XX W WASHINGTON BLVD
766,073XX S PERRY AVE
767,102XX S CRANDON AVE
768,028XX W TOUHY AVE
769,024XX N PARKSIDE AVE
770,043XX N SACRAMENTO AVE
771,049XX W FLETCHER ST
772,065XX W DIVERSEY AVE
773,033XX W POTOMAC AVE
774,017XX E 95TH ST
775,107XX S AVENUE M
776,016XX W 38TH ST
777,050XX W WABANSIA AVE
778,110XX S EWING AVE
779,056XX W PATTERSON AVE
780,032XX W CORTEZ ST
781,010XX N PARKSIDE AVE
782,009XX S MAYFIELD AVE
783,054XX W ADAMS ST
784,048XX W BARRY AVE
785,094XX S SANGAMON ST
786,045XX S VINCENNES AVE
787,064XX S MAPLEWOOD AVE
788,062XX S TROY ST
789,055XX W AUGUSTA BLVD
790,069XX S SOUTH SHORE DR
791,050XX W HURON ST
792,031XX N RIDGEWAY AVE
793,022XX N MOBILE AVE
794,099XX S VAN VLISSINGEN RD
795,057XX S PAULINA ST
796,004XX E 41ST ST
797,049XX N KOSTNER AVE
798,012XX W ERIE ST
799,014XX E 69TH PL
800,001XX N MENARD AVE
801,107XX S LAFAYETTE AVE
802,053XX N NASHVILLE AVE
803,022XX E 103RD ST
804,077XX S ESSEX AVE
805,050XX S ELLIS AVE
806,001XX S CALIFORNIA AVE
807,108XX S NORMAL AVE
808,066XX S JUSTINE ST
809,021XX N CLARK ST
810,027XX W 36TH ST
811,009XX W WILSON AVE
812,007XX W 73RD ST
813,036XX W GRENSHAW ST
814,116XX S YALE AVE
815,083XX S MERRILL AVE
816,041XX N LAWLER AVE
817,110XX S AVENUE M
818,009XX N MICHIGAN AVE
819,106XX S AVENUE O
820,076XX N SHERIDAN RD
821,011XX W 50TH ST
822,100XX S YALE AVE
823,012XX E 79TH ST
824,064XX S MARSHFIELD AVE
825,018XX S BLUE ISLAND AVE
826,101XX S MALTA ST
827,012XX N LONG AVE
828,008XX W DAKIN ST
829,100XX S STATE ST
830,005XX E 72ND ST
831,037XX N CALIFORNIA AVE
832,005XX W MADISON ST
833,020XX S MICHIGAN AVE
834,0000X W MONROE ST
835,012XX W 117TH ST
836,065XX S ROCKWELL ST
837,092XX S BRANDON AVE
838,066XX N ROCKWELL ST
839,020XX N HOWE ST
840,028XX W AUGUSTA BLVD
841,106XX S WENTWORTH AVE
842,101XX S LONGWOOD DR
843,042XX W 62ND ST
844,036XX W DOUGLAS BLVD
845,010XX W DAKIN ST
846,062XX S BISHOP ST
847,083XX S HOLLAND RD
848,008XX E HYDE PARK BLVD
849,062XX S KEDZIE AVE
850,002XX N LATROBE AVE
851,056XX W WASHINGTON BLVD
852,108XX S HALSTED ST
853,0000X E 57TH ST
854,004XX W MELROSE ST
855,009XX N LARAMIE AVE
856,068XX S CRANDON AVE
857,027XX W HIRSCH ST
858,012XX W 72ND PL
859,049XX S LOOMIS BLVD
860,001XX N HOMAN BLVD
861,022XX S LEAVITT ST
862,005XX W MELROSE ST
863,018XX N MILWAUKEE AVE
864,044XX N CENTRAL AVE
865,094XX S EMERALD AVE
866,072XX N CLAREMONT AVE
867,134XX S HOUSTON AVE
868,011XX S INDEPENDENCE BLVD
869,007XX W 48TH PL
870,049XX S KOMENSKY AVE
871,043XX W DIVISION ST
872,042XX W CHICAGO AVE
873,021XX N KEYSTONE AVE
874,029XX N PINE GROVE AVE
875,047XX S LAKE PARK AVE
876,028XX N CLARK ST
877,007XX N LOCKWOOD AVE
878,014XX N AUSTIN BLVD
879,043XX W LEXINGTON ST
880,008XX N GREENVIEW AVE
881,111XX S MICHIGAN AVE
882,006XX W 103RD ST
883,080XX S CONSTANCE AVE
884,023XX W PERSHING RD
885,014XX W 109TH PL
886,0000X N PARKSIDE AVE
887,018XX S SPRINGFIELD AVE
888,004XX E ERIE ST
889,013XX W 57TH ST
890,035XX S EMERALD AVE
891,045XX S KEDVALE AVE
892,012XX S INDIANA AVE
893,075XX S DR MARTIN LUTHER KING JR DR
894,101XX S UNION AVE
895,023XX W MC LEAN AVE
896,121XX S WENTWORTH AVE
897,016XX W GREENLEAF AVE
898,016XX N OAKLEY AVE
899,025XX W ADDISON ST
900,017XX W PRYOR AVE
901,090XX S MERRILL AVE
902,047XX N WINCHESTER AVE
903,0000X E 9TH ST
904,053XX S PRAIRIE AVE
905,024XX E 74TH PL
906,045XX W THOMAS ST
907,116XX S VINCENNES AVE
908,018XX W MONROE ST
909,070XX S CONSTANCE AVE
910,008XX E 63RD ST
911,054XX W CORTLAND ST
912,028XX W 23RD ST
913,035XX S RHODES AVE
914,007XX W MADISON ST
915,015XX N KOSTNER AVE
916,044XX N KEYSTONE AVE
917,033XX W CHICAGO AVE
918,020XX W ARMITAGE AVE
919,080XX S YALE AVE
920,120XX S INDIANA AVE
921,058XX S PULASKI RD
